GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US36,36,New York,7262279,12603,4625960,13534,3194010,16545,2636319,8228,7.8,0.1,4.9,0.1,1.7,0.1,14.0,0.1,5.2,0.1,3.4,0.1,1.8,0.1,8.9,0.1,9.8,0.1,7.7,0.1,4.9,0.1,14.3,0.2,8.8,0.1,7.9,0.1,6.1,0.1,10.8,0.1,11.7,0.1,11.2,0.1,9.6,0.1,12.8,0.2,16.4,0.1,16.8,0.1,16.6,0.1,15.3,0.2,11.9,0.1,13.2,0.1,14.6,0.1,9.0,0.1,14.4,0.1,17.3,0.1,21.2,0.2,8.3,0.1,6.5,0.1,8.1,0.1,10.6,0.1,3.1,0.1,7.5,0.1,9.5,0.1,12.9,0.1,3.6,0.1,59269,235,71913,303,90257,409,36916,211,86825,324,100948,460,121531,597,58432,391,36.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X)
8600000US10001,10001,ZCTA5 10001,11639,506,3668,451,2734,412,7971,524,8.6,2.1,5.2,3.6,1.9,1.7,10.1,2.7,4.1,1.5,3.3,2.5,2.1,3.0,4.5,1.8,9.3,2.5,10.6,6.9,7.8,8.1,8.6,2.1,5.1,1.1,3.2,1.4,3.0,1.7,6.0,1.5,9.2,2.1,9.7,4.5,9.8,5.2,9.0,2.3,8.5,1.9,6.4,2.7,6.7,3.1,9.6,2.5,9.8,2.0,14.8,4.9,9.6,5.5,7.6,1.9,13.2,2.7,10.3,2.9,12.4,3.8,14.3,3.6,10.0,2.1,9.5,3.1,12.4,4.0,10.3,2.9,22.1,2.8,26.9,5.2,34.1,6.7,19.9,3.2,86801,10346,91418,12053,(X),(X),80823,11337,158183,25853,179351,28737,N,N,147978,33847,24.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
8600000US10002,10002,ZCTA5 10002,33348,548,17572,657,9991,617,15776,665,15.5,1.7,9.2,2.1,6.0,2.3,23.0,2.5,12.6,1.3,13.1,2.1,14.7,2.7,12.4,1.6,14.0,1.6,15.3,2.3,16.2,3.1,12.4,2.2,8.8,1.4,12.5,2.4,11.2,2.6,6.4,1.4,10.0,1.4,12.9,2.1,10.9,2.4,6.5,1.6,14.2,1.7,15.0,2.2,13.0,2.8,12.1,2.1,7.1,1.2,7.0,1.7,6.7,2.0,7.1,1.9,8.5,1.2,7.7,1.6,10.0,2.5,9.1,1.6,3.4,0.6,2.9,0.9,4.0,1.4,3.9,1.2,5.9,0.7,4.3,0.8,7.4,1.4,7.2,1.3,33726,3127,34755,4544,(X),(X),27472,3792,61946,2672,57927,4110,69979,6108,64542,5495,32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
8600000US10003,10003,ZCTA5 10003,27487,679,7331,581,6135,511,20156,849,6.1,1.0,2.5,1.7,1.4,1.7,7.4,1.2,1.9,0.7,1.0,0.8,1.0,1.0,2.2,0.9,7.0,1.5,3.5,2.4,1.6,1.3,8.3,1.8,4.9,1.2,4.2,2.1,3.3,1.9,5.1,1.4,6.4,1.2,4.2,1.8,3.0,1.6,7.2,1.5,13.0,1.9,9.5,2.9,8.9,3.0,14.4,2.2,11.3,1.7,9.4,2.6,9.1,2.5,12.0,2.1,15.2,1.8,14.3,3.0,14.3,3.2,15.7,2.2,11.6,1.7,13.2,3.0,14.7,3.6,10.9,1.8,22.5,1.9,38.1,3.9,42.7,4.3,16.7,1.9,98151,5628,156642,18981,(X),(X),86081,3552,161692,10734,254227,29785,N,N,127381,7777,23.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.7,(X)
8600000US10004,10004,ZCTA5 10004,1574,201,591,137,502,120,983,191,2.2,1.7,2.0,2.4,0.0,5.8,3.1,2.7,0.3,0.5,0.0,4.9,0.0,5.8,0.5,0.8,1.7,2.1,0.0,4.9,0.0,5.8,2.6,3.4,6.5,5.7,2.7,5.0,3.2,5.9,8.7,8.7,5.1,3.2,5.2,5.3,3.4,4.1,5.7,5.2,7.1,6.7,2.7,5.1,3.2,6.1,9.7,9.9,14.8,4.9,0.0,4.9,0.0,5.8,22.3,7.7,22.0,7.6,16.8,11.3,16.9,12.1,25.2,9.9,12.4,6.4,11.7,10.0,13.7,11.7,12.8,8.3,28.0,7.4,58.9,13.1,59.6,14.1,9.4,5.2,119691,15833,224484,52225,(X),(X),95444,15507,177262,24337,287797,48923,N,N,109722,17641,22.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.5,(X)
8600000US10005,10005,ZCTA5 10005,4252,396,1270,274,1127,279,2982,399,7.9,4.1,0.2,0.3,0.0,2.6,11.3,5.6,0.8,0.9,0.0,2.3,0.0,2.6,1.2,1.3,4.5,2.7,2.0,3.2,0.0,2.6,5.5,3.6,1.9,1.3,2.4,2.5,0.0,2.6,1.7,1.8,1.4,1.6,0.0,2.3,0.0,2.6,2.0,2.3,9.0,3.4,3.3,4.5,2.8,4.4,11.8,4.7,9.9,4.4,10.9,9.3,12.3,10.3,9.5,4.9,24.6,6.4,24.0,10.3,24.6,11.8,25.8,7.3,12.5,4.6,11.7,7.6,11.2,8.0,12.9,5.7,27.4,6.6,45.4,10.9,49.2,12.3,18.3,6.7,124194,10342,196011,41719,(X),(X),109556,11235,176424,28643,261819,64592,N,N,135924,26783,25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X)
8600000US10006,10006,ZCTA5 10006,1745,225,453,123,362,110,1292,206,6.9,4.0,2.2,5.5,2.8,6.9,8.5,5.2,5.2,4.2,0.0,6.4,0.0,7.9,7.0,5.6,0.0,1.7,0.0,6.4,0.0,7.9,0.0,2.3,0.7,1.1,0.0,6.4,0.0,7.9,0.9,1.5,3.2,3.1,0.0,6.4,0.0,7.9,4.3,4.2,15.7,6.6,7.5,8.9,9.4,11.0,18.6,8.2,6.6,4.8,2.4,4.4,3.0,5.4,8.0,6.3,22.3,7.4,40.0,15.6,30.7,14.0,18.0,8.2,7.5,4.9,8.4,9.8,10.5,12.4,5.3,4.4,32.0,8.2,39.5,18.0,43.6,20.0,29.4,9.0,123691,27459,141369,76393,176500,94307,103023,34723,162688,23020,176921,35835,N,N,156322,29206,21.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),15.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.4,(X)
8600000US10007,10007,ZCTA5 10007,2781,229,1428,187,1315,170,1353,214,2.9,2.1,2.3,2.6,1.2,1.9,3.5,3.2,1.4,1.5,0.0,2.1,0.0,2.3,2.9,3.0,0.6,1.1,1.3,2.2,0.0,2.3,0.0,2.2,0.7,1.1,1.4,2.1,1.5,2.3,0.0,2.2,3.8,2.7,2.7,2.6,1.3,2.1,5.0,4.5,5.9,2.6,2.3,2.8,1.2,2.1,9.6,4.2,5.3,2.9,1.8,2.0,2.0,2.1,8.9,5.9,10.4,4.4,6.2,4.1,5.3,3.9,14.7,7.6,9.2,3.9,5.7,3.8,6.2,4.0,13.0,6.5,59.8,5.3,76.3,5.9,81.3,5.9,42.4,8.9,"250,000+",***,"250,000+",***,(X),(X),155665,36152,441278,56347,570723,84593,N,N,304243,61991,15.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.1,(X)
8600000US10009,10009,ZCTA5 10009,29770,465,10991,774,6004,653,18779,790,12.7,1.4,7.6,2.3,3.4,2.4,15.6,2.0,7.7,1.3,6.8,1.9,3.6,1.6,8.5,1.9,9.6,1.4,11.7,2.8,7.0,2.3,8.5,1.7,7.2,1.3,10.3,2.2,7.5,2.7,5.8,1.6,8.4,1.4,10.0,2.6,8.4,3.1,7.0,1.7,12.3,1.8,11.3,2.6,11.2,3.8,13.2,2.4,11.2,1.8,7.2,2.2,7.6,3.0,13.0,2.3,14.4,1.8,14.1,3.1,15.6,4.1,14.7,2.4,7.1,1.4,7.9,2.2,12.5,3.7,6.7,1.7,9.4,1.6,13.1,2.7,23.3,4.2,6.9,1.9,59090,5355,58913,7933,105057,18320,58095,8830,85207,5441,101346,11401,N,N,74995,5332,24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X)
