Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10,2016,April,33.2,41.0,44.3,133.8
Brooklyn North,BKN02,10,2016,April,41.0,33.2,55.4,132.1
Brooklyn North,BKN03,10,2016,April,28.5,30.5,39.3,111.4
Brooklyn North,BKN04,10,2016,April,33.8,30.3,59.3,138.8
Brooklyn North,BKN05,10,2016,April,25.1,22.4,41.6,95.0
Brooklyn North,BKN08,10,2016,April,36.7,40.1,55.8,153.2
Brooklyn North,BKN09,10,2016,April,30.3,31.4,42.9,116.8
Brooklyn North,BKN16,10,2016,April,23.2,21.2,32.2,86.8
Brooklyn North,BKN17,10,2016,April,32.4,29.5,58.0,126.8
Brooklyn South,BKS06,10,2016,April,56.7,47.4,85.4,202.2
Brooklyn South,BKS07,10,2016,April,45.0,47.2,71.0,192.8
Brooklyn South,BKS10,10,2016,April,49.7,57.3,76.2,214.6
Brooklyn South,BKS11,10,2016,April,40.8,47.3,65.1,173.2
Brooklyn South,BKS12,10,2016,April,32.9,47.5,41.5,131.6
Brooklyn South,BKS13,10,2016,April,32.8,39.6,51.9,141.8
Brooklyn South,BKS14,10,2016,April,34.1,36.9,57.4,131.1
Brooklyn South,BKS15,10,2016,April,40.1,48.5,62.4,168.5
Brooklyn South,BKS18,10,2016,April,35.6,41.6,68.4,160.4
Bronx,BX01,10,2016,April,18.4,19.7,26.8,70.7
Bronx,BX02,10,2016,April,31.4,32.3,54.3,134.7
Bronx,BX03,10,2016,April,24.9,28.0,41.4,100.1
Bronx,BX04,10,2016,April,27.9,28.6,47.1,116.0
Bronx,BX05,10,2016,April,28.8,28.7,54.1,119.8
Bronx,BX06,10,2016,April,33.3,36.6,45.3,137.4
Bronx,BX07,10,2016,April,32.8,32.7,60.2,142.3
Bronx,BX08,10,2016,April,43.8,47.1,81.3,185.3
Bronx,BX09,10,2016,April,24.5,21.5,39.4,92.4
Bronx,BX10,10,2016,April,41.3,42.2,67.3,173.9
Bronx,BX11,10,2016,April,34.7,35.7,54.1,139.2
Bronx,BX12,10,2016,April,39.7,35.2,74.6,167.8
Manhattan,MN01,10,2016,April,53.0,45.9,74.3,162.0
Manhattan,MN02,10,2016,April,50.6,38.9,83.2,151.0
Manhattan,MN03,10,2016,April,32.8,43.0,44.1,139.2
Manhattan,MN04,10,2016,April,46.9,33.5,82.2,135.3
Manhattan,MN05,10,2016,April,42.5,31.8,62.0,117.9
Manhattan,MN06,10,2016,April,46.4,34.0,79.4,133.1
Manhattan,MN07,10,2016,April,51.8,42.1,81.8,155.8
Manhattan,MN08,10,2016,April,51.8,43.5,80.5,157.1
Manhattan,MN09,10,2016,April,39.4,57.2,47.7,175.4
Manhattan,MN10,10,2016,April,34.0,38.8,55.3,145.8
